Feature,Importance
"TRBV6-8, TRBV6-5",0.5195602
"TRBJ1-5, TRBJ1-2",0.495046
"TRBJ2-5, TRBJ1-5",0.49045563
"TRBJ2-1, TRBJ1-2",0.48783612
"TRBJ1-2, TRBJ2-6",0.47470146
"TRBJ2-5, TRBJ2-3",0.4677845
"TRBJ2-5, TRBJ2-1",0.4631336
"TRBJ2-7, TRBJ2-1",0.46202773
"TRBJ2-1, TRBJ2-5",0.45633373
"TRBJ2-7, TRBJ2-5, TRBJ2-3",0.42580363
"TRBJ1-2, TRBJ1-5",0.42011628
"TRBV5-8, TRBV5-5, TRBV5-3, TRBV5-4",0.41768986
"TRBJ2-7, TRBJ2-5",0.40927452
"TRBV5-4, TRBV5-8, TRBV4-2, TRBV5-5",0.40756455
"TRBJ2-5, TRBJ2-7",0.40154883
"TRBJ2-7, TRBJ2-6",0.39602214
"TRBV4-2, TRBV4-1, TRBV4-3",0.35363165
"TRBD2, TRBD1",0.3447746
"TRBV7-3, TRBV2",0.3045688
"TRBV7-9, TRBV20-1",0.2908048
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-4, TRBV10-3",0.25230762
"TRBV7-3, TRBV7-4",0.20434257
"TRBV7-9, TRBV28",0.19793247
TRBJ2-6,0.19477412
TRBJ2-4,0.17570645
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-9, TRBV6-8",0.17027727
"TRBV6-2, TRBV6-3, TRBV6-4, TRBV6-5, TRBV6-6",0.15910289
TRBJ2-1,0.15603828
"TRBV7-7, TRBV7-6",0.14868158
TRBV10-1,0.13298982
TRBJ1-4,0.13223398
"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-1, TRBV6-6",0.13178273
"TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3, TRBV6-8",0.12437891
TRBJ1-3,0.11911715
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8",0.11488916
TRBJ1-5,0.11432374
"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-6, TRBV6-1",0.11234399
TRBJ1-6,0.11228927
TRBJ2-2,0.10701724
TRBV5-5,0.10369118
TRBJ2-5,0.098814994
TRBV13,0.09593777
"TRBV6-5, TRBV6-6, TRBV6-1",0.09483442
TRBD2,0.09064962
"TRBD1, TRBD2",0.08753751
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8",0.08739214
TRBJ2-3,0.08408182
TRBJ2-7,0.07307592
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-5, TRBV6-6",0.07179089
TRBJ1-1,0.070884004
TRBV24-1,0.06995433
"TRBV6-4, TRBV6-1",0.06226244
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-2, TRBV6-8",0.059153274
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-9",0.05410339
TRBJ1-2,0.053025253
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-3",0.051537916
TRBV5-3,0.04898485
TRBD1,0.047267698
TRBV7-6,0.047055423
"TRBV11-2, TRBV11-3",0.046432987
TRBV4-2,0.04628011
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8",0.044826515
