gene_segment,freq
TRBV1,0.000682728191572
TRBV10-1,0.004749941688695256
TRBV10-2,0.0034233595086296635
"TRBV10-2, TRBV28",2.42963769242731e-06
TRBV10-3,0.018365631317057346
"TRBV10-3, TRBV6-1, TRBV6-5, TRBV6-6",0.0003863123930959273
"TRBV11-1, TRBV11-3",0.000449482973099
TRBV11-2,0.0002065192038562554
"TRBV11-3, TRBV11-1",0.0007386098584977472
TRBV12-2,7.53187684652464e-05
"TRBV12-3, TRBV12-4",0.0003620160161716685
TRBV12-5,4.85927538485461e-06
TRBV13,7.28891307728192e-06
TRBV14,8.50373192349556e-05
TRBV15,0.04622871637381358
TRBV16,7.28891307728192e-06
TRBV18,0.0013022858031409333
TRBV19,0.018086222982426948
TRBV2,0.0026483050847456386
TRBV20-1,0.29240446664592995
TRBV21-1,0.0035059671901725284
"TRBV21-1, TRBV28",4.85927538485462e-06
TRBV23-1,0.0002016599284714664
TRBV24-1,0.03361646711242345
TRBV25-1,0.002407770953195266
TRBV27,0.042511370704399205
TRBV28,0.07578039962680427
TRBV29-1,0.006669355465712525
TRBV30,3.158529000155496e-05
TRBV4-1,0.000223526667703283
"TRBV4-1, TRBV4-3",0.0004689200746384589
TRBV4-2,2.18667392318457e-05
"TRBV4-2, TRBV4-3",0.0018659617477839617
"TRBV4-3, TRBV4-1",4.37334784636915e-05
"TRBV4-3, TRBV4-1, TRBV4-2",8.503731923495566e-05
"TRBV4-3, TRBV4-2",0.0001943710153941
TRBV5-1,0.001027736743896712
TRBV5-3,3.88742030788369e-05
TRBV5-4,0.0001336300730834365
"TRBV5-4, TRBV5-8",0.005160550458715138
TRBV5-5,0.0002939861607836926
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8",2.186673923184576e-05
"TRBV5-5, TRBV5-3, TRBV5-8",5.102239154097342e-05
"TRBV5-5, TRBV5-6",0.0012123892085210489
"TRBV5-6, TRBV5-5, TRBV5-7",0.00042275695848228593
"TRBV5-6, TRBV5-7",0.0002551119577048287
"TRBV5-6, TRBV5-7, TRBV5-5",0.0016472943554653294
TRBV5-8,5.10223915409735e-05
"TRBV5-8, TRBV5-4",0.0001433486238531184
TRBV6-1,0.0003377196392473
"TRBV6-1, TRBV6-5",0.005459395894883928
"TRBV6-1, TRBV6-5, TRBV6-6",0.010687976208987494
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",4.85927538485462e-06
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3",0.0011589371792877366
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8",0.0003061343492457745
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8",0.01538932514383386
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-3",0.0224328448141809
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-9",0.003194973565541673
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-8",0.0003109936246306
"TRBV6-1, TRBV6-5, TRBV6-8",0.000801780438501
