,transition_type,gene_segment,freq
0,4,TRBD1,-0.0185901389442705
1,4,"TRBD1, TRBD2",-0.0008294997846842
2,4,TRBD2,-0.0047997412227951
3,4,"TRBD2, TRBD1",0.0006379662350314
0,4,TRBD1,0.000377156414075
1,4,"TRBD1, TRBD2",0.0572033117675559
2,4,TRBD2,-0.0077180980528581
3,4,"TRBD2, TRBD1",-0.0373443848258827
0,4,TRBD1,-0.0304715830533862
1,4,"TRBD1, TRBD2",0.018141025288559
2,4,TRBD2,-0.0888849782554016
3,4,"TRBD2, TRBD1",0.0158869337511715
0,4,TRBD1,0.0046598787267244
1,4,"TRBD1, TRBD2",0.0163236535742584
2,4,TRBD2,0.0007183834262515
3,4,"TRBD2, TRBD1",0.0029735213875724
0,4,TRBD1,-0.0095934531779143
1,4,"TRBD1, TRBD2",-0.0076737274007867
2,4,TRBD2,0.0348552136009926
3,4,"TRBD2, TRBD1",0.0039342296316364
0,4,TRBD1,0.0041629564014838
1,4,"TRBD1, TRBD2",0.0083989220093046
2,4,TRBD2,0.0034657712601574
3,4,"TRBD2, TRBD1",-0.0070121766106048
0,4,TRBD1,0.0
1,4,"TRBD1, TRBD2",0.0287488048458407
2,4,TRBD2,0.155461598858879
3,4,"TRBD2, TRBD1",0.0
0,4,TRBD1,0.0
1,4,"TRBD1, TRBD2",0.0986577007311048
2,4,TRBD2,0.0839672067067455
3,4,"TRBD2, TRBD1",0.0
0,4,TRBD1,-0.0497561897900594
1,4,"TRBD1, TRBD2",0.1240007973471093
2,4,TRBD2,0.0244456623600201
3,4,"TRBD2, TRBD1",0.0081706939382364
