,transition_type,gene_segment,freq
0,4,TRBV1,-0.0001059622263812
1,4,TRBV10-1,-0.0019900250006867
2,4,TRBV10-2,0.0018667007792219
3,4,TRBV10-3,-0.0034810134912949
4,4,"TRBV10-3, TRBV6-1, TRBV6-5, TRBV6-6",-7.02159331442184e-05
5,4,TRBV11-1,0.0007275515380842
6,4,"TRBV11-1, TRBV11-3",0.0008419799631448
7,4,TRBV11-2,0.0052876050182459
8,4,TRBV11-3,-0.0001613272749137
9,4,"TRBV11-3, TRBV11-1",-0.0002114303378666
10,4,TRBV12-1,0.0004725383988102
11,4,TRBV12-2,-0.0001321170176934
12,4,"TRBV12-3, TRBV12-4",0.0162069266356994
13,4,"TRBV12-3, TRBV12-4, TRBV28",4.1022948237244e-06
14,4,"TRBV12-4, TRBV12-3",-0.0129065216836714
15,4,TRBV12-5,-0.0005041784536055
16,4,TRBV13,3.097976327869271e-06
17,4,TRBV14,0.0034857454818645
18,4,"TRBV14, TRBV28",-1.27665332989488e-06
19,4,TRBV15,-0.0002635997675584
20,4,TRBV16,-0.0001301017556333
21,4,TRBV18,0.0016451116345475
22,4,TRBV19,0.033090579472658
23,4,TRBV2,0.0178387057727927
24,4,TRBV20-1,0.0126053638630221
25,4,"TRBV20-1, TRBV5-1",2.0511474118622e-06
26,4,TRBV21-1,0.00251709196635
27,4,"TRBV21-1, TRBV28",2.9106623341334254e-06
28,4,TRBV23-1,-0.0001241980915756
29,4,"TRBV23-1, TRBV27",-1.27665332989488e-06
30,4,"TRBV23-1, TRBV28",-3.82995998968464e-06
31,4,TRBV24-1,2.025949107660116e-05
32,4,TRBV25-1,0.0001344920812047
33,4,TRBV27,-0.0692820234836
34,4,"TRBV27, TRBV28",2.8256414938295207e-06
35,4,TRBV28,0.0001928411496515
36,4,"TRBV28, TRBV20-1",-1.27665332989488e-06
37,4,"TRBV28, TRBV6-1, TRBV6-5, TRBV6-6",2.0511474118622e-06
38,4,TRBV29-1,0.0011466321801355
39,4,"TRBV3-1, TRBV3-2",0.0001089486030364
40,4,TRBV30,0.0025795919832826
41,4,TRBV4-1,-0.0006319992374131
