,transition_type,gene_segment,freq
0,2,TRBD1,-0.1027416871173365
1,2,"TRBD1, TRBD2",0.0302766898562292
2,2,TRBD2,0.1011984953869679
3,2,"TRBD2, TRBD1",-0.0111908013010097
0,2,TRBD1,0.0052826758450953
1,2,"TRBD1, TRBD2",0.0253675507305059
2,2,TRBD2,-0.0516539231998033
3,2,"TRBD2, TRBD1",-0.0102631827544926
0,2,TRBD1,-0.0133251710080637
1,2,"TRBD1, TRBD2",0.0646570823607474
2,2,TRBD2,0.0314809163553979
3,2,"TRBD2, TRBD1",-0.0488825021593849
0,2,TRBD1,0.0225403160167028
1,2,"TRBD1, TRBD2",0.0416333738787
2,2,TRBD2,0.0393587032245693
3,2,"TRBD2, TRBD1",-0.0096679485448691
0,2,TRBD1,0.0
1,2,"TRBD1, TRBD2",-0.0917028505315723
2,2,TRBD2,-0.1120994814114395
3,2,"TRBD2, TRBD1",0.0
0,2,TRBD1,0.0410218305987941
1,2,"TRBD1, TRBD2",-0.0827787210133151
2,2,TRBD2,0.0148652807378237
3,2,"TRBD2, TRBD1",0.0918455307186563
