,transition_type,gene_segment,freq
0,2,TRBV10-1,0.0003702332469455
1,2,TRBV10-2,0.005072195483154
2,2,TRBV10-3,0.0337001509588455
3,2,"TRBV11-1, TRBV11-3",1.23411082315192e-05
4,2,TRBV11-2,0.0004259726553343
5,2,"TRBV11-2, TRBV11-3, TRBV11-1",-7.03813967892007e-06
6,2,"TRBV11-3, TRBV11-1",1.23411082315192e-05
7,2,"TRBV12-3, TRBV12-4",0.000188684420899
8,2,TRBV12-5,-3.51906983946003e-05
9,2,TRBV13,2.46822164630384e-05
10,2,TRBV14,-0.0003325277360354
11,2,TRBV15,-0.0002239626726049
12,2,TRBV18,0.0001974577317043
13,2,TRBV19,0.0009714511505039
14,2,TRBV2,0.0011940450208974
15,2,TRBV20-1,0.1888378489565865
16,2,TRBV21-1,0.0014068863383931
17,2,TRBV23-1,5.30296855259913e-06
18,2,TRBV24-1,0.0160056520665344
19,2,TRBV25-1,0.0011106997408366
20,2,TRBV27,-0.1901522167209816
21,2,TRBV28,-0.0548730472689934
22,2,TRBV29-1,-0.0153816319975228
23,2,TRBV30,-9.14958158259609e-05
24,2,"TRBV4-1, TRBV4-3",-0.0005837567506566
25,2,"TRBV4-2, TRBV4-3",0.0008822038392059
26,2,"TRBV4-3, TRBV4-1, TRBV4-2",-0.0022679186925648
27,2,"TRBV4-3, TRBV4-2",-0.00070582248254
28,2,"TRBV4-3, TRBV4-2, TRBV4-1",-0.0032656968110189
29,2,TRBV5-1,0.0003704281572928
30,2,"TRBV5-4, TRBV5-8",0.0182658147343844
31,2,TRBV5-5,0.0004936443292607
32,2,"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8",8.63877576206344e-05
33,2,"TRBV5-5, TRBV5-6",0.0003455510304824
34,2,"TRBV5-6, TRBV5-5, TRBV5-7",5.1294514399659154e-05
35,2,"TRBV5-6, TRBV5-7",-9.14958158259609e-05
36,2,"TRBV5-8, TRBV5-4",0.0075904637485999
37,2,"TRBV6-1, TRBV6-5, TRBV6-6",0.0635813896087867
38,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",-7.03813967892007e-06
39,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3",3.70233246945576e-05
40,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8",2.46822164630384e-05
41,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8",-0.0024707815383515
42,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-3",-0.0004152502410562
43,2,"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-9",0.0016290262865603
44,2,"TRBV6-2, TRBV6-3",0.0004184662617863
45,2,"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-5, TRBV6-6",0.002974207083796
46,2,"TRBV6-2, TRBV6-3, TRBV6-4, TRBV6-5, TRBV6-6",1.23411082315192e-05
47,2,"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6",0.0050968776996174
48,2,"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV6-1",0.0001357521905467
49,2,"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-6",0.0037393557941503
50,2,"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-6, TRBV6-1",0.0045908922621251
51,2,TRBV6-4,-0.0094387751200058
52,2,"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8",0.0062071852745817
53,2,"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8, TRBV6-3",-0.0020038446170231
54,2,"TRBV6-5, TRBV6-6, TRBV6-1, TRBV10-3",-0.0062991350126334
55,2,"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-3",0.0046525978032827
56,2,"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-3, TRBV6-8",0.0082315191904232
57,2,"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8",0.0001783020574273
58,2,"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8, TRBV6-3",0.006873997284956
59,2,"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8, TRBV6-9",0.037344193508577
60,2,"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-9, TRBV6-8",0.0122053560409725
61,2,"TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3, TRBV6-8",2.46822164630384e-05
62,2,"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-2, TRBV6-8",0.0128717758854745
63,2,"TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-2, TRBV6-3",8.63877576206343e-05
64,2,TRBV7-2,0.0027890904603233
