,transition_type,gene_segment,freq
0,1,TRBJ1-1,-0.0828851816423281
1,1,TRBJ1-2,-0.0403399897667636
2,1,TRBJ1-3,9.974008539360843e-05
3,1,TRBJ1-4,0.0002815255871568
4,1,TRBJ1-5,0.2818739861635304
5,1,TRBJ1-6,0.0409829676434552
6,1,TRBJ2-1,-0.032221608651748
7,1,TRBJ2-2,-0.0017394994507611
8,1,TRBJ2-3,0.0109358152037319
9,1,TRBJ2-4,-0.0006517469790321
10,1,TRBJ2-5,-0.1698265708144858
11,1,TRBJ2-6,0.0114863330239074
12,1,TRBJ2-7,-0.0179891343056668
13,1,"TRBJ2-7, TRBJ2-5, TRBJ2-3",-6.63609638266386e-06
0,1,TRBJ1-1,0.1090248806337707
1,1,TRBJ1-2,0.0109636038164291
2,1,TRBJ1-3,0.0012938903143424
3,1,TRBJ1-4,4.193868564159196e-05
4,1,TRBJ1-5,0.0096378883040045
5,1,"TRBJ1-5, TRBJ1-2",-1.23411082315192e-05
6,1,TRBJ1-6,-0.1341825428072235
7,1,TRBJ2-1,-0.0043560440761729
8,1,TRBJ2-2,0.0004538230219106
9,1,TRBJ2-3,0.0081261103954531
10,1,TRBJ2-4,-0.0001892654634591
11,1,TRBJ2-5,-0.1011982666951175
12,1,"TRBJ2-5, TRBJ2-7",6.98978094026533e-06
13,1,TRBJ2-6,-0.0042373597868532
14,1,TRBJ2-7,0.1046266949845703
0,1,TRBJ1-1,0.0033336563860368
1,1,TRBJ1-2,0.003449883829687
2,1,TRBJ1-3,0.0011641680627452
3,1,TRBJ1-5,-0.0371644418235602
4,1,TRBJ1-6,0.015819073636074
5,1,TRBJ2-1,0.0131296559314014
6,1,"TRBJ2-1, TRBJ2-5",-0.0002109002109002
7,1,TRBJ2-2,0.0001963357784406
8,1,TRBJ2-3,0.0055129695373766
9,1,TRBJ2-4,-0.000171286613076
10,1,TRBJ2-5,-0.0442726587090839
11,1,"TRBJ2-5, TRBJ2-7",-0.0013098013098013
12,1,TRBJ2-6,-0.0002664113439398
13,1,TRBJ2-7,0.0407897568486161
0,1,TRBJ1-1,0.0050191893588615
1,1,TRBJ1-2,-0.0615397267330665
2,1,TRBJ1-3,0.0067473845159025
3,1,TRBJ1-4,0.0046790491829662
4,1,TRBJ1-5,-0.0325352615148203
5,1,TRBJ1-6,-0.0491680415580852
6,1,TRBJ2-1,-0.0623763874240038
7,1,TRBJ2-2,0.0095029080353387
8,1,TRBJ2-3,0.1239839208702517
9,1,TRBJ2-4,0.0163635965041789
10,1,TRBJ2-5,0.0291247981772791
11,1,"TRBJ2-5, TRBJ2-7",6.5651815318277006e-06
12,1,TRBJ2-6,-0.0035317367286237
13,1,TRBJ2-7,0.013723742132272
0,1,TRBJ1-1,0.0552306767222703
1,1,TRBJ1-2,-0.0635675295358682
2,1,TRBJ1-3,0.0001170751977527
