,transition_type,gene_segment,freq
0,3,TRBJ1-1,-0.0344175973067747
1,3,TRBJ1-2,-0.021541993413725
2,3,TRBJ1-3,0.009458279420663
3,3,TRBJ1-4,0.0067763194595072
4,3,TRBJ1-5,0.0493506117743853
5,3,TRBJ1-6,0.0519724084801353
6,3,TRBJ2-1,-0.0045599504751415
7,3,TRBJ2-2,0.0052773754169639
8,3,TRBJ2-3,-0.0713012975464667
9,3,TRBJ2-4,-0.0051738360766403
10,3,TRBJ2-5,0.0119944155538472
11,3,"TRBJ2-5, TRBJ2-7",0.0013464761497949
12,3,TRBJ2-6,0.0060777198569227
13,3,TRBJ2-7,-0.0052589312935147
0,3,TRBJ1-1,0.0571752601545919
1,3,TRBJ1-2,0.0144631569742967
2,3,TRBJ1-3,0.0208564503736929
3,3,TRBJ1-4,0.0068270205647619
4,3,TRBJ1-5,-0.0887783655327154
5,3,TRBJ1-6,0.0133356980105989
6,3,TRBJ2-1,0.0083284538236554
7,3,"TRBJ2-1, TRBJ2-5",-2.4411380585629e-06
8,3,TRBJ2-2,0.0326791211155135
9,3,TRBJ2-3,0.0211248072864519
10,3,TRBJ2-4,0.003003349222163
11,3,TRBJ2-5,-0.0270813036100613
12,3,"TRBJ2-5, TRBJ2-7",-0.0013255379657996
13,3,TRBJ2-6,-0.0069590335378802
14,3,TRBJ2-7,-0.053090056263861
15,3,"TRBJ2-7, TRBJ2-5",-0.0005565794773523
0,3,TRBJ1-1,-0.0361042591284152
1,3,TRBJ1-2,0.02159458255158
2,3,TRBJ1-3,0.0143431040232826
3,3,TRBJ1-4,-0.0076785999495139
4,3,TRBJ1-5,0.0234170673543498
5,3,TRBJ1-6,-0.0106013081033057
6,3,TRBJ2-1,-0.023580350711546
7,3,"TRBJ2-1, TRBJ2-7",-2.38010234440081e-05
8,3,TRBJ2-2,-0.0026228703369214
9,3,TRBJ2-3,0.0833858755150492
10,3,TRBJ2-4,0.0119305208648747
11,3,TRBJ2-5,-0.0494017439212269
12,3,"TRBJ2-5, TRBJ2-1",-2.38010234440081e-05
13,3,"TRBJ2-5, TRBJ2-7",-0.0151531127840352
14,3,TRBJ2-6,0.0001931212374846
15,3,TRBJ2-7,-0.0096744245647728
0,3,TRBJ1-1,0.0768003331001292
1,3,TRBJ1-2,0.0403643786808385
2,3,TRBJ1-3,0.0053106028868722
3,3,TRBJ1-4,0.0067469581621542
4,3,TRBJ1-5,-0.0041509358835807
5,3,TRBJ1-6,-0.0083065563346815
6,3,TRBJ2-1,-0.0150601162867654
7,3,TRBJ2-2,0.0059002074644452
8,3,TRBJ2-3,-0.0321388223246999
9,3,TRBJ2-4,-0.0037626965696741
10,3,TRBJ2-5,-0.0188177192340408
11,3,"TRBJ2-5, TRBJ2-1",2.37963225163183e-06
12,3,"TRBJ2-5, TRBJ2-7",-0.0019990689413149
13,3,TRBJ2-6,-0.0030709563262191
14,3,TRBJ2-7,-0.0478056345686595
15,3,"TRBJ2-7, TRBJ2-1",-1.23534571149736e-05
0,3,TRBJ1-1,0.0071287541176301
1,3,TRBJ1-2,-0.0570357676273022
2,3,TRBJ1-3,0.0002820512533833
3,3,TRBJ1-5,0.0270754602242087
4,3,TRBJ1-6,0.0528079660742138
5,3,TRBJ2-1,0.1310463991965303
6,3,TRBJ2-2,0.0006915524634239
7,3,TRBJ2-3,0.0088476406716984
8,3,TRBJ2-4,-4.809033397792151e-05
9,3,TRBJ2-5,-0.0534208087095409
10,3,"TRBJ2-5, TRBJ2-7",-0.0001301913813305
11,3,TRBJ2-6,0.0008291484034627
12,3,TRBJ2-7,-0.1180741143524002
0,3,TRBJ1-1,-0.0609591262479321
1,3,TRBJ1-2,-0.0937056415097622
2,3,TRBJ1-3,-0.0251430506253659
3,3,TRBJ1-4,-0.0011145033077885
4,3,TRBJ1-5,-0.0697597897398737
5,3,TRBJ1-6,0.0398271453258101
6,3,TRBJ2-1,-0.051036853457818
7,3,TRBJ2-2,-0.0309776026957832
8,3,TRBJ2-3,-0.0317616247183394
9,3,TRBJ2-4,-0.0102007461160851
10,3,TRBJ2-5,0.3189142808764902
11,3,"TRBJ2-5, TRBJ2-3",-4.7628346486695e-06
12,3,"TRBJ2-5, TRBJ2-7",0.0003867822263388
13,3,TRBJ2-6,0.0005276300088656
14,3,TRBJ2-7,0.015007862815894
