gene_segment,freq
TRBV1,0.0004293333773674
TRBV10-1,-0.0019225797015620001
TRBV10-2,0.0021796925312503
"TRBV10-2, TRBV10-1, TRBV6-1",-4.41150520557614e-05
TRBV10-3,0.05366111034821051
"TRBV10-3, TRBV6-1, TRBV6-5, TRBV6-6",5.50427406881443e-06
"TRBV11-1, TRBV11-3",0.0004183248292298
TRBV11-2,-0.0498963070817077
TRBV11-3,5.50427406881443e-05
"TRBV11-3, TRBV11-1",0.0005669402290878
TRBV12-2,5.50427406881443e-06
"TRBV12-3, TRBV12-4",-0.0202553643412313
"TRBV12-4, TRBV12-3",-0.0016322569260631
TRBV12-5,1.10085481376289e-05
TRBV13,1.100854813762886e-05
TRBV14,-0.0525415930149486
TRBV15,0.0399632996334497
"TRBV15, TRBV7-2, TRBV7-8, TRBV7-9",5.50427406881443e-06
TRBV18,-0.0068991078189472
TRBV19,-0.0929167305056105
TRBV2,-0.0169364487967471
TRBV20-1,0.25624270783848363
"TRBV20-1, TRBV10-3",-4.41150520557614e-05
TRBV21-1,-0.0192697700171809
TRBV23-1,1.100854813762886e-05
TRBV24-1,0.0445563708515039
TRBV25-1,0.0021191455164932
TRBV27,-0.11711979648650689
"TRBV27, TRBV20-1",-4.41150520557614e-05
TRBV28,0.0256850174705823
TRBV29-1,-0.005533787788230299
"TRBV3-1, TRBV3-2",-9.931951175431341e-05
TRBV30,-0.0076654148070910005
TRBV4-1,-0.007549259035109099
"TRBV4-1, TRBV4-2",1.65128222064433e-05
"TRBV4-1, TRBV4-3",-0.0122490079798948
"TRBV4-1, TRBV4-3, TRBV1, TRBV4-2",5.50427406881443e-06
"TRBV4-1, TRBV4-3, TRBV23-1",5.50427406881443e-06
TRBV4-2,7.15555628945876e-05
"TRBV4-2, TRBV4-3",-0.0042695261128603
"TRBV4-3, TRBV4-1, TRBV4-2",-4.41150520557614e-05
TRBV5-1,-0.0122851062855073
"TRBV5-3, TRBV5-5, TRBV5-6",5.50427406881443e-06
"TRBV5-3, TRBV5-5, TRBV5-8",2.75213703440722e-05
TRBV5-4,0.0003467692663352
"TRBV5-4, TRBV4-2, TRBV5-8, TRBV5-5",5.50427406881443e-06
"TRBV5-4, TRBV5-5, TRBV5-6, TRBV5-7, TRBV5-8",5.50427406881443e-06
"TRBV5-4, TRBV5-8",0.004045479721567277
"TRBV5-4, TRBV5-8, TRBV5-5",5.50427406881443e-06
TRBV5-5,0.0002091624146148
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8",0.0001210940295139
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8, TRBV11-3",5.50427406881443e-06
"TRBV5-5, TRBV5-6",0.000588957325363
"TRBV5-5, TRBV5-7, TRBV5-8, TRBV5-3, TRBV5-6",-4.41150520557614e-05
"TRBV5-5, TRBV5-8, TRBV5-3, TRBV5-6",2.75213703440722e-05
"TRBV5-6, TRBV5-5",-0.0002646903123345
"TRBV5-6, TRBV5-5, TRBV5-7",0.0012054360210702
"TRBV5-6, TRBV5-5, TRBV5-7, TRBV5-3",-3.310650391813254e-05
"TRBV5-6, TRBV5-7",0.0004678632958491
"TRBV5-6, TRBV5-7, TRBV5-5",-0.0006176915882858845
"TRBV5-8, TRBV5-4",-0.0009598460351102
TRBV6-1,0.0003302564441288
"TRBV6-1, TRBV6-5",-0.0098647678535411
"TRBV6-1, TRBV6-5, TRBV6-6",-0.0610278432552808
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",1.651282220644329e-05
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3",0.0001651282220643
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8",0.0040671733798219
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8",0.019011600914672376
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-3",0.0057629749500483
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-9",0.0063955621704355
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9",0.0026475558270997
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-8",0.0005284103106061
"TRBV6-1, TRBV6-5, TRBV6-8, TRBV6-3",0.0012935044061713
"TRBV6-1, TRBV6-6, TRBV6-5, TRBV6-8",0.0002146666886837
"TRBV6-2, TRBV6-3",0.0005063123548254386
"TRBV6-2, TRBV6-3, TRBV6-1",5.50427406881443e-05
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-5",5.423414563568497e-06
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-5, TRBV6-6",0.0086173482661107
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6",0.0005173209029631387
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV6-1",0.0032473599815897774
"TRBV6-3, TRBV6-2",0.0001100854813762
"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-1, TRBV6-6",0.0029612994490221
TRBV6-4,0.0074087528966236
"TRBV6-4, TRBV6-1",5.50427406881443e-06
"TRBV6-5, TRBV6-1",0.0002531966071654
"TRBV6-5, TRBV6-1, TRBV6-3, TRBV6-8",4.95384666193299e-05
"TRBV6-5, TRBV6-1, TRBV6-6",0.0010348035249371
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-3",-0.006087877183695
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-3, TRBV6-8",0.0016456970870699387
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8",0.0011448890063133
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8, TRBV6-3",0.0001541196739268
"TRBV6-5, TRBV6-6",7.70598369634021e-05
"TRBV6-5, TRBV6-6, TRBV6-1",0.0017943933464333
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-3",-0.001031805895531
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-3, TRBV6-8",0.007171907392654277
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8",-0.0284818858376089
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8, TRBV6-3",0.0010403077990059
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8, TRBV6-9",0.0012383808059779385
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-9, TRBV6-8",0.000737572725221
"TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",3.8529918481701e-05
"TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3, TRBV6-8",0.004860193143257138
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-1, TRBV6-8",0.0004458461995739
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8, TRBV6-2",0.0005008889402621
"TRBV6-5, TRBV6-6, TRBV6-8",1.10085481376289e-05
"TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-2, TRBV6-3",9.35726591698454e-05
"TRBV6-5, TRBV6-8, TRBV6-6, TRBV6-1",-4.41150520557614e-05
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-8, TRBV6-9",0.0003302564441288
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-9, TRBV6-8",0.0028677267898522
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-3",-0.001279336509617
"TRBV6-6, TRBV6-5, TRBV6-3, TRBV6-2, TRBV6-8",0.0004018120070234
TRBV6-7,-0.000176460208223
"TRBV6-7, TRBV20-1",-4.41150520557614e-05
"TRBV6-8, TRBV6-1, TRBV6-5",0.0006880342586017
TRBV7-2,0.0002586200217289386
"TRBV7-2, TRBV7-8",0.053460120571338594
"TRBV7-2, TRBV7-8, TRBV7-9",-4.41150520557614e-05
TRBV7-3,-0.00012133660802957113
"TRBV7-3, TRBV7-4",-7.722155597389394e-05
TRBV7-4,2.20170962752577e-05
"TRBV7-4, TRBV7-3",9.35726591698454e-05
TRBV7-5,1.10085481376289e-05
TRBV7-6,-0.004766025328991799
"TRBV7-6, TRBV7-7",-0.0336211681128473
"TRBV7-6, TRBV7-7, TRBV7-9",0.0004345950729205
"TRBV7-6, TRBV7-9",4.330645700320005e-05
TRBV7-7,0.0002201709627525
"TRBV7-7, TRBV7-6",0.0009298180201031999
TRBV7-8,0.0003687863626104
"TRBV7-8, TRBV7-2",-0.012189471344723202
TRBV7-9,0.009743813689110994
"TRBV7-9, TRBV7-3",5.50427406881443e-06
"TRBV7-9, TRBV7-6",0.0009959501684342
"TRBV7-9, TRBV7-6, TRBV7-3",1.10085481376289e-05
TRBV9,-0.0001439197208416
