gene_segment,freq
TRBV1,-0.0001444192283886
TRBV10-1,-0.005666853846435261
TRBV10-2,-0.0053974010663012
TRBV10-3,-0.019118113478267
"TRBV11-1, TRBV11-3",0.0011656788873497
TRBV11-2,0.000573238937285
"TRBV11-2, TRBV11-3",6.5095690665278e-05
"TRBV11-2, TRBV11-3, TRBV11-1",0.0007108947677326895
"TRBV11-2, TRBV11-3, TRBV11-1, TRBV7-2",0.0001301913813305
"TRBV11-3, TRBV11-1",-0.0021803363095595
"TRBV12-3, TRBV12-4",-3.9661768861708e-05
TRBV15,0.008111383709296198
TRBV18,-0.0003816793893129
TRBV19,-0.0045283944125734995
TRBV2,-0.000478077283613061
TRBV20-1,-0.03991823204992398
TRBV21-1,0.0004305958395112
TRBV24-1,-0.004062731241125699
TRBV25-1,-0.0005342782195997999
TRBV27,-0.08311674769090191
TRBV28,0.016732330226693404
TRBV29-1,0.0113825569925737
TRBV30,0.000142107908321858
TRBV4-1,0.00041085023620984247
"TRBV4-1, TRBV4-3",-0.0005662908754803999
TRBV4-2,-0.0001031565917062
"TRBV4-2, TRBV4-3",-0.00029150500296710004
"TRBV4-3, TRBV4-1, TRBV4-2",8.892874464801599e-05
"TRBV4-3, TRBV4-2",0.0003254784533263
TRBV5-1,-0.0001145379292458
TRBV5-4,-7.220961419434699e-05
"TRBV5-4, TRBV5-8",-0.0019533918078059997
"TRBV5-4, TRBV5-8, TRBV5-5",2.7390015747328504e-05
TRBV5-5,-4.1262636682484e-05
"TRBV5-5, TRBV5-3, TRBV5-6",-1.0315659170621e-05
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8",-0.0001289457396327
"TRBV5-5, TRBV5-3, TRBV5-8",-5.1578295853105e-06
"TRBV5-5, TRBV5-6",0.000272299289652458
"TRBV5-6, TRBV5-5, TRBV5-7",0.00045780589192939995
"TRBV5-6, TRBV5-5, TRBV5-7, TRBV5-3",-1.54734887559315e-05
"TRBV5-6, TRBV5-7",-5.1578295853105e-05
"TRBV5-6, TRBV5-7, TRBV5-5",-0.0005415721064575
"TRBV5-7, TRBV5-6",-0.0001289457396327
"TRBV5-8, TRBV5-4",-0.0009851454507941
"TRBV6-1, TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6",-5.1578295853105e-06
"TRBV6-1, TRBV6-5, TRBV6-6",-0.019808196964329998
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",3.2547845332639e-05
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3",-4.1262636682484e-05
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8",-0.0011759851454506
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-9",3.2547845332639e-05
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8",-0.021206646330451502
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-3",-0.0146791829997933
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-9",-0.022826952876763163
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9",0.000358026298659
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-8",-0.0001753662059005
"TRBV6-1, TRBV6-6, TRBV6-5, TRBV6-3, TRBV6-8",-0.0001650505467299
"TRBV6-2, TRBV6-3",-0.0002228476500025999
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-5, TRBV6-6",-0.0004074685372395
