unique_gene,count
"TRBV6-6, TRBV6-5, TRBV6-2, TRBV6-3, TRBV6-8",9
"TRBV6-5, TRBV6-1",4
"TRBV6-3, TRBV6-2, TRBV6-5",4
"TRBV23-1, TRBV28",3
"TRBV6-1, TRBV6-5, TRBV6-2, TRBV6-3",3
"TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3, TRBV6-1",3
"TRBV6-1, TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6",3
"TRBV5-3, TRBV5-5",3
"TRBV4-2, TRBV4-1, TRBV4-3",3
"TRBV6-5, TRBV6-6, TRBV6-3",3
"TRBV6-6, TRBV6-5, TRBV6-1",3
"TRBV6-5, TRBV6-1, TRBV6-8",2
"TRBV7-4, TRBV7-3",2
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-4, TRBV6-9",2
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-2",2
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV6-9",2
"TRBV6-5, TRBV6-1, TRBV6-8, TRBV6-6",2
"TRBV6-2, TRBV6-3, TRBV6-9",2
"TRBV6-1, TRBV6-5, TRBV6-3, TRBV6-8",2
TRBV6-8,2
"TRBV6-8, TRBV6-1, TRBV6-5, TRBV6-6",2
"TRBV28, TRBV6-1, TRBV6-5, TRBV6-6",2
"TRBV5-4, TRBV4-2, TRBV5-8, TRBV5-5",2
"TRBV6-6, TRBV6-5, TRBV6-9, TRBV6-1, TRBV6-8",2
"TRBV6-6, TRBV6-5, TRBV6-3, TRBV6-1, TRBV6-8",2
"TRBV6-1, TRBV6-6, TRBV6-5, TRBV6-8, TRBV6-9",2
"TRBV7-2, TRBV7-1, TRBV7-8",2
"TRBV20-1, TRBV10-3",2
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-4, TRBV6-8",2
"TRBV15, TRBV10-3",2
"TRBV6-1, TRBV6-5, TRBV28, TRBV6-6, TRBV6-8",2
"TRBV7-9, TRBV5-6, TRBV7-3",2
"TRBV6-5, TRBV6-1, TRBV6-3, TRBV6-8",2
"TRBV15, TRBV7-2, TRBV7-8, TRBV7-9",1
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8, TRBV11-3",1
"TRBV5-4, TRBV5-5, TRBV5-6, TRBV5-7, TRBV5-8",1
"TRBV5-3, TRBV5-5, TRBV5-6",1
"TRBV7-2, TRBV7-8, TRBV5-8",1
"TRBV7-9, TRBV7-6, TRBV7-3",1
"TRBV5-5, TRBV5-8, TRBV5-3, TRBV5-6",1
"TRBV7-2, TRBV7-8, TRBV5-1",1
"TRBV6-9, TRBV6-5, TRBV6-6",1
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV10-3, TRBV6-9",1
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-4, TRBV6-3",1
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-1, TRBV6-2",1
"TRBV5-3, TRBV5-5, TRBV5-6, TRBV5-8",1
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-9, TRBV6-3",1
"TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-2, TRBV6-3",1
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV27",1
"TRBV7-9, TRBV7-2, TRBV7-3, TRBV7-4",1
"TRBV6-6, TRBV6-5, TRBV6-8",1
"TRBV7-2, TRBV7-8, TRBV5-4",1
"TRBV12-3, TRBV12-4, TRBV6-6",1
"TRBV6-1, TRBV6-5, TRBV6-3",1
"TRBV7-6, TRBV28, TRBV7-7",1
"TRBV3-1, TRBV3-2, TRBV9, TRBV14",1
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV10-3, TRBV6-3",1
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV10-3",1
"TRBV11-2, TRBV7-2, TRBV7-8",1
"TRBV5-8, TRBV5-4, TRBV11-2",1
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-3",1
"TRBV6-2, TRBV6-3, TRBV6-6, TRBV6-5, TRBV6-1",1
"TRBV4-2, TRBV4-1, TRBV4-3, TRBV6-5, TRBV6-6",1
"TRBV7-2, TRBV21-1, TRBV7-8",1
"TRBV6-6, TRBV6-1",1
"TRBV6-1, TRBV6-9, TRBV6-5, TRBV6-6",1
"TRBV7-9, TRBV6-5",1
