Feature,Importance
"TRBV5-5, TRBV5-6, TRBV5-8",0.774729672918255
"TRBV7-2, TRBV7-6, TRBV7-9, TRBV7-8",0.7733492245372072
"TRBV6-6, TRBV6-5, TRBV6-8, TRBV6-3, TRBV6-1",0.7733492245372072
"TRBV7-2, TRBV7-6, TRBV7-8, TRBV7-7, TRBV28",0.7733492245372071
"TRBV7-7, TRBV28, TRBV7-6",0.773349224537207
"TRBV5-1, TRBV6-1, TRBV6-5, TRBV6-6",0.773349224537207
"TRBV14, TRBV28",0.7537481386746525
"TRBV5-5, TRBV5-8, TRBV5-3",0.7440590347609969
"TRBV7-8, TRBV7-2, TRBV28",0.7206861306351541
"TRBV6-8, TRBV6-1, TRBV6-5",0.687603279497516
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-4, TRBV6-9",0.6783662079059039
"TRBV5-8, TRBV5-5, TRBV5-4, TRBV4-2",0.6782260509766803
"TRBV7-2, TRBV28",0.6782260509766803
"TRBV4-1, TRBV4-3, TRBV4-2",0.6782260509766802
"TRBV5-8, TRBV5-3, TRBV5-4",0.6782260509766802
"TRBV7-2, TRBV7-8, TRBV7-4",0.6782259189950289
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-6, TRBV6-5",0.6729033361240286
"TRBV18, TRBV10-3",0.6728985150210512
"TRBV2, TRBV28",0.6728985150210512
"TRBV5-4, TRBV20-1",0.6728985150210512
"TRBV6-4, TRBV28",0.6728985150210512
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV10-3, TRBV6-9",0.6704059292902524
"TRBV5-3, TRBV5-5, TRBV5-6, TRBV5-8",0.6704059292902524
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-9, TRBV6-3",0.6704059292902524
"TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-2, TRBV6-3",0.6704059292902524
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV6-9",0.6703985241421079
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8",0.6702666593520995
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-1",0.6675972321056622
TRBV12-1,0.6630154675349347
TRBD1,0.6628181010775331
"TRBV28, TRBV6-1, TRBV6-5, TRBV6-6",0.6555389484643568
"TRBV6-3, TRBV6-2, TRBV6-6, TRBV6-5, TRBV6-1",0.6513239431392734
"TRBV5-4, TRBV4-2, TRBV5-8, TRBV5-5",0.6504804988529882
TRBJ2-2,0.6454491072093751
"TRBD1, TRBD2",0.6417995345585179
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-1, TRBV6-8",0.6398903016004078
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-3, TRBV6-8",0.6323371590701283
TRBD2,0.6303108502931398
"TRBV5-6, TRBV5-5, TRBV5-7, TRBV5-3",0.6205831247682804
"TRBV7-2, TRBV7-8, TRBV28",0.6191059998404623
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-1, TRBV6-6",0.617999343618437
"TRBV7-6, TRBV28",0.6149643518204138
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8, TRBV6-9",0.5983558330847547
"TRBV6-2, TRBV6-3, TRBV6-9, TRBV6-5, TRBV6-6",0.5983556320828447
"TRBV4-2, TRBV4-3, TRBV4-1",0.5983553612845236
"TRBV5-6, TRBV5-3, TRBV5-5, TRBV5-7",0.5983553612845236
"TRBV6-7, TRBV20-1",0.5980252370420631
"TRBV6-5, TRBV6-8, TRBV6-6, TRBV6-1",0.5980252370420631
"TRBV10-2, TRBV10-1, TRBV6-1",0.5980252370420631
"TRBV27, TRBV20-1",0.5980252370420631
"TRBV5-5, TRBV5-7, TRBV5-8, TRBV5-3, TRBV5-6",0.5980252370420631
"TRBV7-2, TRBV7-9",0.5975175042455986
"TRBV20-1, TRBV10-3",0.5952907923477879
"TRBV6-3, TRBV6-2, TRBV6-6, TRBV6-5",0.5911091577966688
"TRBV20-1, TRBV5-1",0.5889862395085831
TRBJ1-1,0.5812473651645939
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-9",0.57777017980449
TRBJ1-3,0.5695112075325129
TRBJ2-3,0.5670748094582769
"TRBV7-7, TRBV7-6, TRBV7-3, TRBV7-4",0.5610381607727539
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV10-3, TRBV6-4",0.5610381607727539
TRBJ1-2,0.5606409981561865
TRBJ1-4,0.5604734713061983
"TRBV24-1, TRBV6-1, TRBV6-5, TRBV6-6",0.5579999364816688
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-3",0.5566442436866105
TRBJ2-1,0.543995460596174
TRBV15,0.5405534161061383
TRBV14,0.5403639730107169
TRBJ2-6,0.5388978934796005
TRBV7-7,0.5368377712806196
"TRBV5-6, TRBV5-5",0.5359738779783612
TRBV12-2,0.5356250086843108
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-8",0.5340359372342885
TRBJ1-6,0.5308563527339167
TRBV7-2,0.5306102155577708
TRBV28,0.5286376556468302
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",0.5280427559604743
TRBJ1-5,0.5169944793048764
TRBJ2-7,0.5157988272655962
"TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3, TRBV6-1",0.5137085268276468
"TRBV6-6, TRBV6-5",0.5111417470598674
"TRBV7-3, TRBV7-9",0.5110864402835685
"TRBV7-6, TRBV7-9",0.5083129774870448
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-2, TRBV6-3",0.5052321076332723
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-9, TRBV6-8",0.502999710439306
TRBV4-1,0.4940506962876944
TRBV7-4,0.4913450285436389
"TRBD2, TRBD1",0.48939381001254123
"TRBV5-6, TRBV5-5, TRBV5-7",0.4871087985625453
TRBJ2-4,0.48594233455411545
TRBV6-7,0.483528019221358
"TRBV7-2, TRBV7-8",0.48321739417503884
"TRBV5-3, TRBV5-5, TRBV5-6",0.47580184221566785
