Feature,Importance
TRBJ1-3,0.17495878591365194
TRBJ1-4,0.14999741674495212
TRBJ2-3,0.13757725577766758
TRBJ2-2,0.1351008695780545
"TRBD2, TRBD1",0.13362919123275183
TRBJ1-1,0.12807572586980953
TRBJ2-4,0.12586709495653106
TRBJ2-6,0.12527892604300442
TRBJ1-6,0.12378524609297066
TRBJ1-2,0.12102108443780916
TRBJ1-5,0.10673868169365054
TRBJ2-1,0.10518750290149534
TRBJ2-7,0.10435060528036133
TRBJ2-5,0.10385498060799676
TRBV10-3,0.10085961544570606
TRBV2,0.09723548030171332
TRBV5-1,0.09693813567158187
TRBV9,0.09666612565138077
TRBV24-1,0.09621460426120289
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8",0.096133073374629
TRBV20-1,0.09563565630570921
"TRBV5-6, TRBV5-5, TRBV5-7",0.09473608072118127
"TRBV5-4, TRBV5-8",0.0946186083012716
TRBV7-3,0.09444158403716782
"TRBV7-7, TRBV7-6",0.09359681539259981
"TRBV4-1, TRBV4-3",0.09327381503322323
"TRBV11-3, TRBV11-1",0.09227839183072749
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8",0.0907283265119467
TRBV19,0.09050683307051383
TRBV29-1,0.09033551964836181
TRBV25-1,0.09009762139975663
"TRBV4-2, TRBV4-3",0.089244530928
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-9",0.08903845486706695
"TRBJ2-5, TRBJ2-7",0.08856367469929438
TRBD2,0.08783174358212373
TRBV7-9,0.08768896070397497
TRBV15,0.08768294773411393
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6",0.08745510622129998
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8, TRBV6-3",0.08702878864983028
"TRBV7-2, TRBV7-8",0.08690398168100795
"TRBV7-8, TRBV7-2",0.08605149946817205
"TRBV6-2, TRBV6-3",0.08550242210610107
TRBV7-6,0.08542929209687683
TRBV6-4,0.08430123387768475
TRBV28,0.08407815527524458
TRBV11-2,0.0832867628965459
TRBV27,0.0831982627020876
"TRBD1, TRBD2",0.08301379454728912
"TRBV4-3, TRBV4-1, TRBV4-2",0.08296588864491784
"TRBV7-6, TRBV7-7, TRBV7-9",0.08266850822545377
"TRBV11-1, TRBV11-3",0.08263891352682999
"TRBV12-3, TRBV12-4",0.08259601383918802
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-3, TRBV6-8",0.08255387466509144
"TRBV5-6, TRBV5-7, TRBV5-5",0.08185329626881963
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-5, TRBV6-6",0.08082216521200393
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8",0.08032050441536276
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8",0.08018568971258556
"TRBV7-9, TRBV7-6",0.07959905585765449
"TRBV6-1, TRBV6-5, TRBV6-6",0.07833650379706021
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",0.07799190135910333
TRBV21-1,0.07796933086821009
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8, TRBV6-9",0.07795191150647582
"TRBV5-5, TRBV5-6",0.07792935450812646
TRBV18,0.07792798840075656
TRBV4-1,0.07752521247051625
TRBD1,0.07688521330758075
"TRBV4-3, TRBV4-2, TRBV4-1",0.07666251353217803
TRBV10-2,0.07635529472161856
TRBV5-4,0.07550067604234208
"TRBV7-6, TRBV7-7",0.07510604151665906
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-3, TRBV6-8",0.07487820301838158
TRBV10-1,0.0743053408535598
TRBV30,0.07399991637963305
"TRBV5-8, TRBV5-4",0.07327530957932252
"TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3, TRBV6-8",0.0729982455480073
"TRBV3-1, TRBV3-2",0.07251352032503229
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8",0.0724731373172534
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8, TRBV6-3",0.07202485010232622
"TRBV6-1, TRBV6-5",0.07157061053396611
TRBV23-1,0.07124356985413506
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-3",0.07047832334213204
TRBV12-5,0.07028066047314752
TRBV5-5,0.0698790474160382
"TRBV5-6, TRBV5-7",0.06954636503228616
"TRBV4-3, TRBV4-2",0.06859508678789733
TRBV14,0.0685640862750207
"TRBV7-3, TRBV7-4",0.06836685317904682
TRBV7-2,0.067617365712864
TRBV13,0.06600699437672879
"TRBV7-6, TRBV7-9",0.06474644000311221
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV6-1",0.06467017265745637
"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-6",0.0642320007251336
TRBV6-1,0.06312014446532807
"TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-2, TRBV6-3",0.062012040319427024
TRBV11-3,0.06164637663253535
TRBV12-2,0.0601399127527086
"TRBV6-5, TRBV6-6, TRBV6-1",0.05923112345539872
