,0,1,2,3
TRBV10-1_TRBD1_TRBJ2-1,,,0.02212135,
"TRBV11-3, TRBV11-1_TRBJ1-6",,,,0.014137808
TRBV15_TRBD2_TRBJ1-6,,,0.020782426,
TRBV18_TRBJ2-5,,,,0.014417025902244392
TRBV20-1_TRBD1_TRBJ2-3,0.008475796,,,
TRBV20-1_TRBD1_TRBJ2-5,0.010866206071786677,,,
"TRBV20-1_TRBD2, TRBD1_TRBJ2-5",,,0.021267797,
"TRBV20-1_TRBD2_TRBJ2-5, TRBJ2-7",,0.021464926,,
TRBV20-1_TRBJ1-6,,,,0.019468915550355525
TRBV24-1_TRBJ1-6,,,0.018602924,
"TRBV25-1_TRBD1, TRBD2_TRBJ1-5",0.009145284,,,
"TRBV27_TRBD1, TRBD2_TRBJ1-1",0.008924918,,,
TRBV27_TRBD1_TRBJ1-5,,,0.041344901,
"TRBV27_TRBD2, TRBD1_TRBJ1-1",,,0.018093864,
TRBV27_TRBD2_TRBJ1-6,0.00904051,,,
TRBV27_TRBJ2-1,,,,0.014062600969293829
"TRBV6-1, TRBV6-5, TRBV6-6_TRBD1, TRBD2_TRBJ1-5",0.007975837,,,
"TRBV6-1, TRBV6-6, TRBV6-5_TRBD1_TRBJ1-2",,0.018910597,,
"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-1, TRBV6-6_TRBD1, TRBD2_TRBJ1-5",,,0.027363646,
"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-6_TRBD2_TRBJ1-2",0.01027817,,,
"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-6_TRBD2_TRBJ2-2",,,0.020509006,
"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-6_TRBJ1-1",,,,0.01999286
TRBV6-4_TRBD2_TRBJ2-7,0.010989371792607049,,,
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-3, TRBV6-8_TRBD1, TRBD2_TRBJ1-6",0.012561013,,,
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8, TRBV6-3_TRBD1, TRBD2_TRBJ1-2",,0.023352135,0.023352135,
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8, TRBV6-3_TRBJ1-2",,0.02646593,,
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8_TRBJ2-5",,0.023800066,,
"TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-3, TRBV6-2_TRBD1_TRBJ2-5",,,,0.015141051
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-8_TRBD2_TRBJ2-5",,0.016534305,,0.016534305
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-3, TRBV6-8_TRBD1_TRBJ2-5",,0.055070954,,0.055070954
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-8, TRBV6-9_TRBD1_TRBJ1-2",,,0.019577194,
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-8_TRBD1_TRBJ1-1",,0.020779298,,
"TRBV6-6, TRBV6-5, TRBV6-8, TRBV6-2, TRBV6-3_TRBD1_TRBJ1-2",,0.045269187,,
"TRBV7-2, TRBV7-8_TRBD1_TRBJ2-5",,,,0.030788501
"TRBV7-6, TRBV7-7_TRBD1, TRBD2_TRBJ2-5",,0.017721430312506066,,
"TRBV7-7, TRBV7-6_TRBD2_TRBJ2-5",,,,0.014613983
"TRBV7-9, TRBV7-6_TRBJ2-5",0.010290119565643881,,,
